title,text,label,text_cleaned
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0,secret documents reveal government hiding ufo evidence decades
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0,secret documents reveal government hiding ufo evidence decades
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0,bill gates admitted plan reduce population vaccines
Infrastructure Project Completed,Department of Transportation completes major bridge infrastructure project,1,department transportation completes major bridge infrastructure project
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0,area contains alien technology beings kept secret
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0,area contains alien technology beings kept secret
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0,according sources covid vaccine contains microchips tracking
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0,according sources covid vaccine contains microchips tracking
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0,area contains alien technology beings kept secret
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0,princess diana death coverup evidence destroyed
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0,technology experts prove moon landing entirely simulated
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
Medical Breakthrough Announced,Doctors develop revolutionary cancer treatment showing promising clinical results,1,doctors develop revolutionary cancer treatment showing promising clinical results
International Trade Agreement Signed,G20 nations sign historic trade agreement promoting sustainable development,1,nations sign historic trade agreement promoting sustainable development
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0,bill gates admitted plan reduce population vaccines
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Technology Advances in AI,Machine learning algorithms reach new milestone in natural language understanding,1,machine learning algorithms reach new milestone natural language understanding
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0,princess diana death coverup evidence destroyed
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0,illuminati secretly controls world financial institutions
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
Infrastructure Project Completed,Department of Transportation completes major bridge infrastructure project,1,department transportation completes major bridge infrastructure project
Infrastructure Project Completed,Department of Transportation completes major bridge infrastructure project,1,department transportation completes major bridge infrastructure project
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0,secret documents reveal government hiding ufo evidence decades
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0,secret documents reveal government hiding ufo evidence decades
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0,secret documents reveal government hiding ufo evidence decades
University Releases Study,Harvard researchers publish findings on cognitive health and exercise correlation,1,harvard researchers publish findings cognitive health exercise correlation
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
Infrastructure Project Completed,Department of Transportation completes major bridge infrastructure project,1,department transportation completes major bridge infrastructure project
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
New Energy Source Developed,Engineers describe new renewable energy technology improving efficiency,1,engineers describe new renewable energy technology improving efficiency
International Trade Agreement Signed,G20 nations sign historic trade agreement promoting sustainable development,1,nations sign historic trade agreement promoting sustainable development
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0,princess diana death coverup evidence destroyed
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0,secret documents reveal government hiding ufo evidence decades
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0,area contains alien technology beings kept secret
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0,network deployment causing covidlike symptoms
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0,chemtrails sky used control monitor citizens
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0,illuminati secretly controls world financial institutions
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0,bill gates admitted plan reduce population vaccines
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
Technology Advances in AI,Machine learning algorithms reach new milestone in natural language understanding,1,machine learning algorithms reach new milestone natural language understanding
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0,technology experts prove moon landing entirely simulated
Technology Advances in AI,Machine learning algorithms reach new milestone in natural language understanding,1,machine learning algorithms reach new milestone natural language understanding
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Technology Advances in AI,Machine learning algorithms reach new milestone in natural language understanding,1,machine learning algorithms reach new milestone natural language understanding
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0,network deployment causing covidlike symptoms
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0,according sources covid vaccine contains microchips tracking
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0,chemtrails sky used control monitor citizens
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0,illuminati secretly controls world financial institutions
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
International Trade Agreement Signed,G20 nations sign historic trade agreement promoting sustainable development,1,nations sign historic trade agreement promoting sustainable development
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0,illuminati secretly controls world financial institutions
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0,princess diana death coverup evidence destroyed
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0,chemtrails sky used control monitor citizens
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0,according sources covid vaccine contains microchips tracking
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0,network deployment causing covidlike symptoms
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0,area contains alien technology beings kept secret
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0,according sources covid vaccine contains microchips tracking
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0,illuminati secretly controls world financial institutions
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
Medical Breakthrough Announced,Doctors develop revolutionary cancer treatment showing promising clinical results,1,doctors develop revolutionary cancer treatment showing promising clinical results
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0,princess diana death coverup evidence destroyed
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0,according sources covid vaccine contains microchips tracking
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Chemtrails Control Weather,Chemtrails in the sky are used to control and monitor citizens,0,chemtrails sky used control monitor citizens
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Reptilians Run Government,Reptile humanoids run major governments worldwide,0,reptile humanoids run major governments worldwide
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
Reptilians Run Government,Reptile humanoids run major governments worldwide,0,reptile humanoids run major governments worldwide
Technology Advances in AI,Machine learning algorithms reach new milestone in natural language understanding,1,machine learning algorithms reach new milestone natural language understanding
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0,technology experts prove moon landing entirely simulated
New Energy Source Developed,Engineers describe new renewable energy technology improving efficiency,1,engineers describe new renewable energy technology improving efficiency
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0,technology experts prove moon landing entirely simulated
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
Medical Breakthrough Announced,Doctors develop revolutionary cancer treatment showing promising clinical results,1,doctors develop revolutionary cancer treatment showing promising clinical results
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0,network deployment causing covidlike symptoms
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
Technology Advances in AI,Machine learning algorithms reach new milestone in natural language understanding,1,machine learning algorithms reach new milestone natural language understanding
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Infrastructure Project Completed,Department of Transportation completes major bridge infrastructure project,1,department transportation completes major bridge infrastructure project
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0,technology experts prove moon landing entirely simulated
University Releases Study,Harvard researchers publish findings on cognitive health and exercise correlation,1,harvard researchers publish findings cognitive health exercise correlation
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
University Releases Study,Harvard researchers publish findings on cognitive health and exercise correlation,1,harvard researchers publish findings cognitive health exercise correlation
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0,according sources covid vaccine contains microchips tracking
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Moon Landing Was Fake,Technology experts prove the 1969 moon landing was entirely simulated,0,technology experts prove moon landing entirely simulated
Medical Breakthrough Announced,Doctors develop revolutionary cancer treatment showing promising clinical results,1,doctors develop revolutionary cancer treatment showing promising clinical results
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0,network deployment causing covidlike symptoms
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
COVID Vaccine Contains Microchips,"According to sources, the COVID vaccine contains microchips for tracking",0,according sources covid vaccine contains microchips tracking
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0,area contains alien technology beings kept secret
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
International Trade Agreement Signed,G20 nations sign historic trade agreement promoting sustainable development,1,nations sign historic trade agreement promoting sustainable development
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
New Energy Source Developed,Engineers describe new renewable energy technology improving efficiency,1,engineers describe new renewable energy technology improving efficiency
Study Shows Vaccine Effectiveness,New large-scale study confirms effectiveness of COVID vaccines reducing hospitalizations by 95%,1,new largescale study confirms effectiveness covid vaccines reducing hospitalizations
Technology Advances in AI,Machine learning algorithms reach new milestone in natural language understanding,1,machine learning algorithms reach new milestone natural language understanding
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0,network deployment causing covidlike symptoms
New Energy Source Developed,Engineers describe new renewable energy technology improving efficiency,1,engineers describe new renewable energy technology improving efficiency
Technology Advances in AI,Machine learning algorithms reach new milestone in natural language understanding,1,machine learning algorithms reach new milestone natural language understanding
Climate Report Released,IPCC climate report shows concerning trends in global warming requiring immediate action,1,ipcc climate report shows concerning trends global warming requiring immediate action
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
JFK Assassin Not Caught,JFK assassin was never caught and remains in hiding,0,jfk assassin never caught remains hiding
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0,bill gates admitted plan reduce population vaccines
University Releases Study,Harvard researchers publish findings on cognitive health and exercise correlation,1,harvard researchers publish findings cognitive health exercise correlation
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0,area contains alien technology beings kept secret
International Trade Agreement Signed,G20 nations sign historic trade agreement promoting sustainable development,1,nations sign historic trade agreement promoting sustainable development
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Illuminati Controls World Banks,Illuminati secretly controls all world financial institutions,0,illuminati secretly controls world financial institutions
Medical Breakthrough Announced,Doctors develop revolutionary cancer treatment showing promising clinical results,1,doctors develop revolutionary cancer treatment showing promising clinical results
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0,princess diana death coverup evidence destroyed
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
Area 51 Contains Aliens,Area 51 contains alien technology and beings kept secret,0,area contains alien technology beings kept secret
NASA Faked Mars Photos,NASA faked all Mars rover photos using Hollywood studios,0,nasa faked mars rover photos using hollywood studios
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Environmental Protection Law Passed,Parliament passes comprehensive environmental protection legislation,1,parliament passes comprehensive environmental protection legislation
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0,princess diana death coverup evidence destroyed
New Energy Source Developed,Engineers describe new renewable energy technology improving efficiency,1,engineers describe new renewable energy technology improving efficiency
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
Infrastructure Project Completed,Department of Transportation completes major bridge infrastructure project,1,department transportation completes major bridge infrastructure project
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Bill Gates Plans Population Control,Bill Gates admitted his plan to reduce population through vaccines,0,bill gates admitted plan reduce population vaccines
Flat Earth Conspiracy Proven,Flat Earth hypothesis gaining acceptance among scientists,0,flat earth hypothesis gaining acceptance among scientists
Government Hides UFO Evidence,Secret documents reveal government has been hiding UFO evidence for decades,0,secret documents reveal government hiding ufo evidence decades
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Prince Diana Was Murdered,"Princess Diana death was cover-up, evidence destroyed",0,princess diana death coverup evidence destroyed
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Space Agency Launches Mission,Space agency successfully launches Mars exploration rover mission to study geology,1,space agency successfully launches mars exploration rover mission study geology
Buildings Destroyed by Directed Energy,World Trade Center destroyed by military directed energy weapons,0,world trade center destroyed military directed energy weapons
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
Healthcare System Improved,Healthcare system implements new protocols improving patient care quality,1,healthcare system implements new protocols improving patient care quality
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Reptilians Run Government,Reptile humanoids run major governments worldwide,0,reptile humanoids run major governments worldwide
Medical Breakthrough Announced,Doctors develop revolutionary cancer treatment showing promising clinical results,1,doctors develop revolutionary cancer treatment showing promising clinical results
Reptilians Run Government,Reptile humanoids run major governments worldwide,0,reptile humanoids run major governments worldwide
New Energy Source Developed,Engineers describe new renewable energy technology improving efficiency,1,engineers describe new renewable energy technology improving efficiency
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Education Initiatives Launched,Government launches education initiative improving student access to technology,1,government launches education initiative improving student access technology
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
5G Network Spreads Diseases,5G network deployment is causing COVID-like symptoms,0,network deployment causing covidlike symptoms
Princess Autopsy Results Hidden,Princess autopsy results hidden by royal family conspiracy,0,princess autopsy results hidden royal family conspiracy
Reptilians Run Government,Reptile humanoids run major governments worldwide,0,reptile humanoids run major governments worldwide
Scientific Conference Heldinelle,Annual scientific conference brings researchers together to share findings,1,annual scientific conference brings researchers together share findings
Researchers Discover New Species,Research team discovers previously unknown species in Amazon rainforest expedition,1,research team discovers previously unknown species amazon rainforest expedition
Company Reports Growth,Tech company reports record quarterly earnings and announces expansion plans,1,tech company reports record quarterly earnings announces expansion plans
